Movie Name,Year of Release,Watch Time,Movie Rating,Meatscore of movie,Votes,Gross,Description
Oldeuboi,2003,101,8.4,77,557233,710000,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days."
American Beauty,1999,122,8.4,84,1125668,130100000,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.
Mononoke-hime,1997,134,8.4,76,377971,2380000,"On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime."
Braveheart,1995,178,8.4,68,1010396,75600000,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.
Aliens,1986,137,8.4,84,694769,85160000,"Fifty-seven years after surviving an apocalyptic attack aboard her space vessel by merciless space creatures, Officer Ripley awakens from hyper-sleep and tries to warn anyone who will listen about the predators."
Once Upon a Time in America,1984,229,8.4,75,339858,5320000,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life."
Amadeus,1984,160,8.4,88,390979,51970000,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was insanely jealous of Mozart's talent and claimed to have murdered him."
Raiders of the Lost Ark,1981,115,8.4,85,937518,248160000,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before Adolf Hitler's Nazis can obtain its awesome powers."
Das Boot,1981,149,8.4,86,245669,11490000,"The claustrophobic world of a WWII German U-boat; boredom, filth and sheer terror."
The Shining,1980,146,8.4,66,975609,44020000,"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future."
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,95,8.4,97,477038,280000,"An insane American general orders a bombing attack on the Soviet Union, triggering a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop."
Witness for the Prosecution,1957,116,8.4,79,120895,8180000,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.
Pather Panchali,1955,125,8.4,79,30864,540000,"Impoverished priest Harihar Ray, dreaming of a better life for himself and his family, leaves his rural Bengal village in search of work."
The Great Dictator,1940,125,8.4,79,218611,290000,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.
1917,2019,119,8.3,78,538089,159230000,"April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap."
Baahubali 2: The Conclusion,2017,167,8.3,79,85992,20190000,"When Shiva, the son of Bahubali, learns about his heritage, he begins to look for answers. His story is juxtaposed with past events that unfolded in the Mahishmati Kingdom."
Bhaag Milkha Bhaag,2013,186,8.3,79,66318,1630000,"The truth behind the ascension of Milkha Singh, who was scarred by of the India-Pakistan partition."
Jagten,2012,115,8.3,77,316048,690000,"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie."
Jodaeiye Nader az Simin,2011,123,8.3,95,239620,7100000,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.
Incendies,2010,131,8.3,80,170117,6860000,Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.
Kimetsu no Yaiba: Mugen Ressha-Hen,2020,117,8.3,72,50080,47700000,"After his family was brutally murdered and his sister turned into a demon, Tanjiro Kamado's journey as a demon slayer began. Tanjiro and his comrades embark on a new mission aboard the Mugen Train, on track to despair."
Up,2009,96,8.3,88,1005046,293000000,"78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway."
Toy Story 3,2010,103,8.3,92,806874,415000000,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home."
Batman Begins,2005,140,8.3,70,1407060,206850000,"After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption."
"Swades: We, the People",2004,210,8.3,79,88691,1220000,A successful Indian scientist returns to an Indian village to take his nanny to America with him and in the process rediscovers his roots.
Inglourious Basterds,2009,153,8.3,69,1380265,120540000,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same."
Eternal Sunshine of the Spotless Mind,2004,108,8.3,89,972634,34400000,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories."
Le fabuleux destin d'Amélie Poulain,2001,122,8.3,69,738946,33229999,"Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love."
Snatch,2000,104,8.3,55,830934,30330000,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond."
Requiem for a Dream,2000,102,8.3,68,814574,3640000,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.
L.A. Confidential,1997,138,8.3,90,567157,64620000,"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice."
Good Will Hunting,1997,126,8.3,70,929052,138430000,"Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life."
Toy Story,1995,81,8.3,95,954805,191800000,A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.
Heat,1995,170,8.3,76,628141,67440000,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a clue at their latest heist.
Reservoir Dogs,1992,99,8.3,79,982899,2830000,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant."
Indiana Jones and the Last Crusade,1989,127,8.3,65,733424,197170000,"In 1938, after his father Professor Henry Jones, Sr. goes missing while pursuing the Holy Grail, Professor Henry ""Indiana"" Jones, Jr. finds himself up against Adolf Hitler's Nazis again to stop them from obtaining its powers."
Die Hard,1988,132,8.3,72,851621,83010000,An NYPD officer tries to save his wife and several others taken hostage by German terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.
Full Metal Jacket,1987,116,8.3,76,718322,46360000,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.
Scarface (1983),1983,170,8.3,65,803337,45600000,"In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed."
Star Wars: Episode VI - Return of the Jedi,1983,131,8.3,58,1013202,309130000,"After a daring mission to rescue Han Solo from Jabba the Hutt, the Rebels dispatch to Endor to destroy the second Death Star. Meanwhile, Luke struggles to help Darth Vader back from the dark side without falling into the Emperor's trap."
Taxi Driver,1976,114,8.3,94,787683,28260000,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action."
The Sting,1973,129,8.3,83,255692,159600000,Two grifters team up to pull off the ultimate con.
A Clockwork Orange,1971,136,8.3,77,804113,6210000,"In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned."
2001: A Space Odyssey,1968,149,8.3,84,646548,56950000,"The Monoliths push humanity to reach for the stars; after their discovery in Africa generations ago, the mysterious objects lead mankind on an awesome journey to Jupiter, with the help of H.A.L. 9000: the world's greatest supercomputer."
Per qualche dollaro in più,1965,132,8.3,74,249702,15000000,Two bounty hunters with the same intentions team up to track down an escaped Mexican outlaw.
Lawrence of Arabia,1962,218,8.3,100,285991,44820000,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks."
The Apartment,1960,125,8.3,94,176836,18600000,"A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue."
North by Northwest,1959,136,8.3,98,319577,13280000,"A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt."
Vertigo,1958,128,8.3,100,391838,3200000,"A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed."
Singin' in the Rain,1952,103,8.3,99,235030,8820000,A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.
Ikiru,1952,143,8.3,91,76069,60000,A bureaucrat tries to find meaning in his life after he discovers he has terminal cancer.
All About Eve,1950,138,8.3,98,128685,10000,A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.
Ladri di biciclette,1948,89,8.3,79,159629,330000,"In post-war Italy, a working-class man's bicycle is stolen, endangering his efforts to find work. He and his son set out to find it."
Double Indemnity,1944,107,8.3,95,153305,5720000,"A Los Angeles insurance representative lets an alluring housewife seduce him into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, an insurance investigator."
Citizen Kane,1941,119,8.3,100,431675,1590000,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance; 'Rosebud'."
M - Eine Stadt sucht einen Mörder,1931,117,8.3,79,154224,30000,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt."
Metropolis,1927,153,8.3,98,170474,1240000,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences."
The Kid,1921,68,8.3,79,123604,5450000,"The Tramp cares for an abandoned child, but events put that relationship in jeopardy."
Andhadhun,2018,139,8.2,79,88167,1370000,"A series of mysterious events change the life of a blind pianist, who must now report a crime that he should technically know nothing of."
Green Book,2018,130,8.2,69,455265,85080000,A working-class Italian-American bouncer becomes the driver of an African-American classical pianist on a tour of venues through the 1960s American South.
Drishyam (2015),2015,163,8.2,79,78942,740000,"Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime."
Bajrangi Bhaijaan,2015,163,8.2,79,83986,8180000,An Indian man with a magnanimous heart takes a young mute Pakistani girl back to her homeland to reunite her with her family.
Queen,2013,146,8.2,79,64714,1430000,A Delhi girl from a traditional family sets out on a solo honeymoon after her marriage gets cancelled.
PK,2014,153,8.2,79,177443,10620000,An alien on Earth loses the only device he can use to communicate with his spaceship. His innocent nature and child-like questions force the country to evaluate the impact of religion on its people.
OMG: Oh My God!,2012,125,8.2,79,56918,920000,A shopkeeper takes God to court when his shop is destroyed by an earthquake.
Inside Out,2015,95,8.2,94,679674,356460000,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school."
Barfi!,2012,151,8.2,79,80298,2800000,Three young people learn that love can neither be defined nor contained by society's definition of normal and abnormal.
Paan Singh Tomar,2012,135,8.2,79,35708,40000,"The story of Paan Singh Tomar, an Indian athlete and seven-time national steeplechase champion who becomes one of the most feared dacoits in Chambal Valley after his retirement."
Zindagi Na Milegi Dobara,2011,155,8.2,79,75182,3110000,Three friends decide to turn their fantasy vacation into reality after one of their friends gets engaged.
El secreto de sus ojos,2009,129,8.2,80,205129,6390000,A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.
Warrior,2011,140,8.2,71,460231,13660000,"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother."
Harry Potter and the Deathly Hallows: Part 2,2011,130,8.2,85,836605,381010000,"Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts."
Shutter Island,2010,138,8.2,63,1244024,128009999,"In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane."
The Wolf of Wall Street,2013,180,8.2,75,1324137,116900000,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government."
Chak De! India,2007,153,8.2,68,78725,1110000,"Kabir Khan, the coach of the Indian Women's National Hockey Team, dreams of making his all-girls team emerge victorious against all odds."
No Country for Old Men,2007,122,8.2,91,932323,74280000,Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.
There Will Be Blood,2007,158,8.2,93,563961,40220000,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business."
Pan's Labyrinth,2006,118,8.2,98,652123,37630000,"In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world."
V for Vendetta,2005,132,8.2,62,1091983,70510000,"In a future British tyranny, a shadowy freedom fighter, known only by the alias of ""V,"" plots to overthrow it with the help of a young woman."
Black,2005,122,8.2,79,34628,730000,"The cathartic tale of a young woman who can't see, hear, or speak, and the teacher who brings a ray of light into her dark world."
Der Untergang,2004,156,8.2,82,348240,5510000,"Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII."
Hauru no ugoku shiro,2004,119,8.2,80,374075,4710000,"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle."
A Beautiful Mind,2001,135,8.2,72,903262,170740000,"After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish."
Kill Bill: Vol. 1,2003,111,8.2,69,1075206,70100000,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her."
Finding Nemo,2003,100,8.2,90,1009266,380840000,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home."
The Sixth Sense,1999,107,8.2,64,962203,293510000,"A frightened, withdrawn Philadelphia boy who communicates with spirits seeks the help of a disheartened child psychologist."
"Lock, Stock and Two Smoking Barrels",1998,107,8.2,66,567529,3900000,"Eddy persuades his three pals to pool money for a vital poker game against a powerful local mobster, Hatchet Harry. Eddy loses, after which Harry gives him a week to pay back 500,000 pounds."
The Truman Show,1998,103,8.2,90,1024456,125620000,An insurance salesman discovers his whole life is actually a reality TV show.
